Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak
SISTEM PEROLEHAN CITRA BERBASIS ISI MENGGUNAKAN WAVELET HAAR DAN EUCLIDEAN DISTANCE,Penulis : VEMBRI PRATAMA PRISTYONO,"Dosen Pembimbing I : BAIN KHUSNUL KHOTIMAH, S.T., M.Kom.","Dosen Pembimbing II :ABDULLAH BASUKI RAHMAT, S.Si., M.T.","Batik merupakan seni yang paling penting dalam kehidupan masyarakat Indonesia. Keanekaragaman batik berasal dari beberapa wilayah diseluruh indonesia sehingga menyimbolkan karakteristik ciri pola batik yang berbeda-beda dari masing-masing daerah tempat batik tumbuh dan berkembang. Tugas Akhir ini telah berhasil membuat suatu Sistem Perolehan Citra berbasis Isi (SPCI) dengan ciri tekstur yang bertujuan untuk mengetahui ciri dari pola batik tersebut. SPCI merupakan metode atau teknik pencarian gambar citra yang mirip (similar) dengan melakukan perbandingan antara citra query dengan citra yang ada dalam basis data. Pada Penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan wilayah citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai obyek perolehan citra berbasis isi. Metode yang digunakan pada penelitian ini berbasis tekstur kasar atau lembut yaitu metode Wavelet Haar. Wavelet Haar merupakan metode dimana pada setiap citra didekomposisi menjadi 4 bagian yaitu LL, LH, HL, dan HH. Pada masing-masing bagian tersebut ditentukan nilainya. Sehingga dari hasil ekstraksi fitur akan dilakukan pengukuran kemiripan dengan citra basis data dengan menggunakan metode Euclidean Distance. Citra query dan citra basis data yang dipergunakan sebanyak 200 citra dengan delapan kelas citra didalamnya. Citra tertinggi dari hasil uji coba skenario-skenario pada penelitian ini dapat diambil kesimpulan bahwa akurasi tertinggi ada pada kelas bangkalan, cirebon, pamekasan dan solo. Jumlah citra yang dihasilkan dari perhitungan akurasi adalah 8 citra yang mirip dari 10 citra terbaik yang ditampilkan berdasarkan fitur citra Roughness, yaitu fitur untuk mengetahui apakah sebuah tekstur tersebut kasar atau lembut. Dengan hasil nilai akurasi tertinggi sebesar 80 %."
SISTEM PERAMALAN KEBUTUHAN OBAT MENGGUNAKAN METODE JARINGAN SYARAF TIRUAN ALGORITMA  BACKPROPAGATION DENGAN FUNGSI LYAPUNOV,Penulis : Rahmatina Hidayati,"Dosen Pembimbing I : Bain Khusnul Khotimah, S.T.,M.Kom.","Dosen Pembimbing II :Haryanto, S.T.,M.T.","Obat merupakan salah satu kebutuhan penting dalam rumah sakit. Selama ini, kebutuhan pengumpulan data obat adalah masalah yang sering dihadapi oleh Farmasi yang memiliki kewenangan dalam pengadaan obat-obatan di rumah sakit Dr H. Slamet Martodirdjo Pamekasan. Dalam rangka menjamin ketersediaan obat perlu untuk mengatasi kebutuhan obat sesuai dengan jumlah yang dibutuhkan. Dalam rangka memenuhi tingkat kebutuhan untuk obat perlu untuk meramalkan masa depan pasokan obat dengan menggunakan data sebelumnya sebagai data untuk menentukan nilai kesalahan pelatihan metode yang digunakan. Dalam penelitian ini, metode yang akan digunakan untuk memprediksi kebutuhan obat adalah Jaringan Syaraf menggunakan algoritma Backpropagation dengan penambahan fungsi Lyapunov. Dengan penambahan fungsi ini, mampu memecahkan masalah yang terjadi dalam Backpropagation standar sering lambat untuk mencapai konvergensi.
Dari uji coba yang dilakukan dengan 3 Skenario didapatkan hasil parameter terbaik untuk melakukan peramalan pada nama obat Ambroxol dengan  nilai (?) sebesar 13, learning rate 0.4 dan epoch=125 memperoleh  nilai MAPE  2.7% .  Obat Bisoprolol Tab 5mg dengan nilai (?) sebesar 2,  learning rater  0.5 dan epoch 150 memperoleh nilai MAPE  2,94089%.  Obat Cefixime Caps 100mg dengan  nilai (?) sebesar 4, learning rate   0.2  dan epoch 100  memperoleh nilai MAPE  1,10466%."
Visualisasi Proses Terjadinya Hujan Berbasis Second Life,Penulis : Anggit Pratama,"Dosen Pembimbing I : Arik Kurniawati,S.Kom, M.Kom.","Dosen Pembimbing II :Dr.Indah Agustien Siradjuddin, S.Kom, M.Kom.","ABSTRAK
Perkembangan teknologi masa kini telah memungkinkan manusia untuk merasakan suatu pengalaman yang nyata tanpa perlu adanya dunia luar atau materi. Teknologi ini sering disebut teknologi virtual reality. Teknologi virtual reality dapat diterapkan di berbagai bidang salah satunya adalah didalam dunia pembelajaran. Didalam penelitian ini akan membuat suatu pembelajaran mengenai proses terjadinya hujan yang dikemas didalam simulasi virtual reality. Tujuan utama dari pengembangan virtual reality adalah untuk menirukan alam nyata ke dalam dunia maya semakin membuat kedekatan imitasi animasi realitas ke dalam dunia maya. Kehadiran teknologi virtual reality ini dimanfaatkan semaksimal mungkin dalam kehidupan sehari-hari. Didalam Penelitian ini ditetapkan perilaku yang menjadi objek adalah kegiatan proses terjadinya hujan. Kegunaan Second Life sebagai platform untuk menghidupkan konsep dalam pembelajaran proses terjadinya hujan menjadi 3 dimensi karena Second Life sangat memadai untuk memvisualisasikan sebuah bentuk 3D dan Second Life merupakan Platform yang sangat mendukung untuk membuat suatu pembelajaran. Hasil uji coba visualisasi terhadap responden mendapatkan suatu pembelajaran visualisasi proses hujan dengan cara yang berbeda dan menarik dan mudah dimengerti. 

Kata kunci: Virtual Reality (VR), Multimedia Proses Hujan, Second Life"
IMPLEMENTASI  METODE N-GRAM PADA PEMBUATAN GAME FIGHTING MADURA BERBASIS ANDROID OS MOBILE,Penulis : Farizal Arifin,"Dosen Pembimbing I : Arik Kurniawati S.Kom., M.T","Dosen Pembimbing II :Cucun Very Angkoso, S.T., M.T",Teknologi mobile  game  berkembang  dengan  sangat  pesat. mobile  game memiliki  banyak  peminat  dari berbagai kalangan karena keragaman variasinya. Hal inilah yang menjadi dasar bagi para pengembang untuk terus  mengembangkan mobile  game. Pada  penelitian  ini  dibuat sebuah Game  Fighting dengan  platform Android. Game  Fighting adalah  salah  satu  genre  video  game  dimana  seorang  player  mengontrol  seorang karakter di layar permainan dan  melakukan pertarungan jarak dekat (close combat) dengan  seorang lawan. Game  fighting  dibuat  dengan  mengimplementasikan  Metode  N-gram.  Metode  N-gram  diterapkan  pada pembuatan  pergerakan  NPC  (Non  Playable  Character)  dalam  bertarung. NPC  dapat  memprediksi  gerakan lawan  selanjutnya  dengan  menggunakan  metode  N-gram.  Dari  30  gerakan  pertama  player  NPC  dapat memprediksi 9 gerakan dengan tepat. Prediksi akan menjadi semakin akurat dengan semakin banyaknya key yang tercipta. 6 dari 9 prediksi gerakan yang tepat terjadi antara pada gerakan ke-20 sampai gerakan ke-30. Metode ini akan cenderung membuat NPC bertahan jika player bergerak agresif menyerang. Hasil pengujian Game  Fighting  dapat  berjalan  dengan  baik  pada  emulator  dan  smartphone  android  yang  memiliki  resolusi screen 320 x 480 pixels. Aplikasi game ini masih dapat berjalan lancar pada tipe smartphone Android yang memiliki  resolusi  screen  lebih  besar  atau  lebih  kecil  dari 320  x  480  pixels  akan  tetapi  tampilannya  tidak sempurna.
"IMPLEMENTASI PERFORMANCE PRISM 
UNTUK SISTEM PENGUKURAN KINERJA PERUSAHAAN",Penulis : Luhur Priyantoko Aji,"Dosen Pembimbing I : BAIN KHUSNUL KHOTIMAH, S.T., M.Kom.","Dosen Pembimbing II :Khamdi Mubarok, S.T., M.Eng.","Pengukuran kinerja adalah proses di mana organisasi menetapkan parameter hasil untuk dicapai oleh program, investasi, dan akusisi yang dilakukan. Dalam pengukuran kinerja perusahaan diperlukan indikator yang jelas sehingga bisa diketahui peningkatan atau penurunan indeks produktivitas yang menjadi tolak ukur perusahaan dalam mengukur kinerjanya. Pengukuran kinerja salah satunya diterapkan pada PT. Preshion Engineering Plastec Surabaya supaya  tetap  dapat menguasai  pasar  dan  mempertahankan  pelanggannya. Dengan menggunakan Performance Prism, metode ini mempertimbangkan semua kebutuhan dan keinginan dari semua stakeholder yang nantinya akan dijadikan dasar untuk menyusun Key Performance Indicators (KPI) kemudian KPI tersebut dibobotkan dengan ANP selanjutnya dilakukan scoring dengan Objective Matrix (OMAX) untuk mengetahui indeks produktivitas dari kinerja perusahaan. Hasil dari penelitian ini adalah dalam mengevaluasi kinerja PT Preshion Engineering Plastec Surabaya didapatkan 6 stakeholder dengan 19 subkriteria atau KPI. Dari 19 KPI tersebut, KPI Profit Growth  mendapatkan bobot normal paling tinggi yaitu 0,05307 dan KPI jumlah rapat bobotnya paling rendah yaitu 0,05262. Indeks produktivitas perusahaan pada tahun 2010 mengalami penurunan sebesar 0,29642 dari tahun 2009. Ini diakibatkan sebanyak 15 KPI pencapaiannya dibawah target. Namun untuk tahun 2011 indeks produktivitas perusahaan mengalami kenaikan dari tahun 2010 sebesar 0,420018."
PENGEMBANGAN VIRTUAL CLASS UNTUK PEMBELAJARAN INTERAKTIF MATA PELAJARAN MATEMATIKA SISWA SMP BERBASIS SECOND LIFE,Penulis : Dwi Adi Permana,"Dosen Pembimbing I : Arik Kurniawati,S.Kom, M.Kom",Dosen Pembimbing II :Dr. Indah Aguestien S,"Internet berkembang dengan cepat beberapa tahun belakangan ini. Banyak hal yang dapat dilakukan dengan internet dari bergabung dengan situs jejaring sosial, bermain games online, belanja melalui shop online, download dan browsing info-info yang dibutuhkan. Bukan hanya itu dunia pendidikan juga ikut meramaikan dunia internet, seperti pembelajaran jarak jauh, virtual class, games pendidikan dan lain-lain. Dalam tugas akhir ini membangun aplikasi virtual class matematika untuk siswa SMP berbasis second life. Tujuan utama dari tugas akhir ini adalah untuk membuat suatu media pembelajaran dengan menerapkan teknologi yang ada yaitu, mata pelajaran yang virtual class matematika berbasis second life. Virtual Class ini dibuat secara online dengan menggunakan Second Life. Aplikasi virtual class ini terbagi dari 6 bab materi mata pelajaran matematika, khususnya untuk siswa SMP kelas VII. Didalam virtual class ini terdapat soal evaluasi untuk setiap babnya.Jika nilai evaluasi kurang dari KKM (Kriteria Kelulusan Minimal) maka siswa wajib melakukan pendalaman materi dan evaluasi ulang. Disini KKM nya menggunakan KKM mata pelajaran matematika untuk siswa VII SMP Negeri 1 Tulangan, yaitu dengan Nilai 75. Kendala dari uji coba aplikasi ini adalah kurangnya koneksi internet yang kuat, karena Aplikasi bersifat online dan memperlukan konekasi internet yang lumayan tinggi

Kata Kunci :  Internet, Virtual Class, Second Life, matematika"
ANALISIS DAN PENERAPAN ALGORITMA PARTICLE SWARM OPTIMIZATION PADA OPTIMASI PENJADWALAN MATA KULIAH DI JURUSAN TEKNIK INFORMATIKA UNIVERSITAS TRUNOJOYO MADURA,Penulis : Qomarul Haryadi Irfan Rifa'i,"Dosen Pembimbing I : Bain Khusnul Hotimah S.T., M.Kom.","Dosen Pembimbing II :Arik Kurniawati, S.Kom, M.T.","Penjadwalan mata kuliah di program studi Teknik Informatika Universitas Trunojoyo Madura dilakukan pada setiap pergantian semester. Beberapa faktor yang mendukung penjadwalan mata kuliah antara lain dosen, mahasiswa, mata kuliah, serta jumlah ruang dan waktu yang tersedia. Permasalahan optimasi penjadwalan merupakan masalah yang sudah umum dan telah dipelajari dalam waktu yang lama, namun perlu dicari metodologi atau pendekatan teknis dan sampai saat ini telah berkembang beberapa solusi alternatif yang ditawarkan. Dalam penelitian ini digunakan algoritma Particle Swarm Optimized (PSO) utnuk melakukan optimasi pada jadwal kuliah. Karena algoritma PSO memiliki tool-tool yang cukup handal dengan penggunaan yang cukup mudah. Hasil penelitian menunjukkan bahwa algoritma Particle Swarm Optimiztion dapat diterapkan  dengan lebih baik pada optimasi penjadwalan mata kuliah dengan memaksimalkan penggunaan parameter-parameter dari algoritma Particle Swarm Optimiztion yaitu apabila nilai w besar maka untuk mengoptimalkan nilai velocity gunakan nilai kecil pada c1 dan c2, begitu juga sebaliknya bila nilai w kecil maka gunakan nilai besar pada c1 dan c2."
"Rancang Bangun Sistem Pendukung Keputusan Penentuan Pemberian Bantuan RASKIN Menggunakan Metode SMARTER
(Studi Kasus : Kecamatan Batuan Kabupaten Sumenep)",Penulis : Ayu Winda Istara,"Dosen Pembimbing I : Andharini Dwi Cahyani, S.Kom, M.Kom","Dosen Pembimbing II :Fika Hastarita Rachman, ST, M.Eng","Seiring dengan perubahan dalam paradigma pembangunan ekonomi yang tidak berfokus dalam penanggulangan masalah kemiskinan, maka sudah sepantasnya apabila pemerintah dituntut untuk dapat mengentaskan masalah kemiskinan melalui program-program pengentasan kemiskinan. Salah satu dari banyak program pengentasan kemiskinan yang dilaksanakan oleh pemerintah yaitu program RASKIN. Metode yang dipakai dalam penelitian ini adalah SMARTER (Simple Multi Attribute Rating Technique Exploiting Ranks). Metode SMARTER merupakan bagian dari metode Multiple Criteria Decision Making (MCDM). Metode ini dipilih karena metode SMARTER merupakan suatu bentuk model pendukung keputusan yang digunakan dalam pengambilan keputusan dengan kriteria yang beragam yang nantinya dapat digunakan untuk memecahkan masalah pengambilan keputusan. Penelitian yang dilakukan di Kecamatan Batuan, Kabupaten Sumenep ini menggunakan parameter kemiskinan yaitu sumber air minum, berapa kali makan per hari, kemampuan membeli daging, Ayam, susu per minggu, bahan bakar masak, jumlah pakaian baru, sumber penerangan, aset minimal, lapangan pekerjaan, tempat buang air besar, jenis lantai rumah, jenis dinding rumah, luas lantai rumah, kemampuan berobat jika sakit dan ijazah terakhir.  Pada penelitian ini, sistem pendukung keputusan menggunakan metode SMARTER mampu menganalisa kriteria yang nantinya dapat menentukan penduduk mana yang layak menerima bantuan RASKIN. Sistem ini memiliki tingkat akurasi 80,5% jika dibandingkan dengan data rill pada tahun 2012.
   
Kata Kunci : RASKIN, Sistem Pendukung Keputusan. SMARTER"
RANCANG BANGUN APLIKASI SEARCH ENGINE DAN SISTEM PENDETEKSI PLAGIARISME MENGGUNAKAN METODE LSA-SOM,Penulis : ARIS PRAMA AULIA,"Dosen Pembimbing I : Hermawan, ST., M.Kom","Dosen Pembimbing II :Dr. Indah Agustien S, S.Kom, M.Kom.","Plagiarisme adalah mencuri gagasan, kata-kata, kalimat atau hasil penelitian orang lain dan menyajikannya seolah-olah sebagai karya sendiri. Metode LSA merupakan salah satu metode dari beberapa metode untuk pendeteksian plagiarisme. Metode Latent Semantic Analysis (LSA) adalah sebuah teori dan metode untuk menggali dan mempresentasikan konteks yang digunakan sebagai sebuah arti kata dengan memanfaatkan komputasi statistik untuk sejumlah corpus yang besar. Penggunaan LSA konvensional bersifat sekuensial dikarenakan masih belum adanya klasterisasi sehingga proses analisa akan dilakukan secara global pada keseluruhan dokumen yang tentunya memerlukan waktu komputasi yang besar. Untuk itu dapat digunakan teknik klasifikasi tak terawasi seperti penggunaan Self Organizing Map (SOM) dan pengujian similaritas secara global hanya dilakukan pada centroid masing-masing kluster untuk kemudian dilakukan pengujian similaritas secara lokal pada klaster yang terpilih yang menjadi bagian dari klaster tersebut. Pada hasil penelitian  LSA-SOM memiliki rata-rata precision 94.4% dan recall 64.04%. 
Kata kunci : Cosine Similarity, Latent Semantic Analysis, plagiarisme Self Organizing Map, Singular Value Decomposition"
Rancang Bangun CRM Berbasis SMS Gateway disertai Peramalan Pergudangan dengan Metode Fuzzy Time Series,Penulis : Akhmad Tajuddin Tholaby MS.,"Dosen Pembimbing I : Fika Hastarita R, S.T., M.Eng.","Dosen Pembimbing II :Firli Irhamni, ST. M. Kom.","KUB Rumput Laut Mitra Bahari adalah suatu perusahaan yang bergerak di bidang produksi rumput laut. Selama ini sistem produksi yang dilakukan didasarkan pada inventori atau stok gudang. Produksi terus berlangsung tanpa melihat permintaan penjualan. Sebagai akibatnya sering terjadi permintaan atau penjualan yang melebihi stok sehingga KUB Rumput Laut Mitra Bahari tidak dapat memenuhi permintaan tersebut. Sering juga terjadi permintaan penjualan jumlahnya lebih sedikit dari hasil produksi sehingga terdapat banyak sisa produk yang tidak terjual. Selain itu, pihak perusahaan juga masih belum memanfaatkan hubungan CRM antara pelanggan dengan perusahaan berbasis SMS Gateway, yang dapat mempercepat dan mempermudah hubungan antara pelanggan dengan perusahaan.
Oleh karena itu, untuk mengatasi beberapa masalah tersebut, pada tugas akhir ini dibuat aplikasi CRM berbasis SMS Gateway disertai peramalan pergudangan dengan metode Fuzzy Time Series. Hubungan CRM berbasis SMS Gateway antara pelanggan dan perusahaan dapat mempermudah dan mempercepat hubungan antara pelanggan dengan perusahaan. Perusahaan akan mengetahui apa yang diharapkan dan diperlukan pelanggannya. Disamping itu dalam penelitian ini juga dibuat aplikasi peramalan pergudangan yang nantinya akan ditindak lanjuti menjadi informasi peluang memasok bahan mentah kepada pemasok berbasis SMS Gateway. Dengan adanya hasil peramalan tersebut, pihak perusahaan dapat memperkirakan jumlah stok data produksi yang dibutuhkan pada periode berikutnya.

Kata Kunci: CRM, pergudangan, Fuzzy Time Series, SMS Gateway."
"Pengenalan Tipe Huruf Aksara di Indonesia Menggunakan Edge Direction Matrix (Batak Toba, Kaganga, Carakan, Had Lampung)",Penulis : Sulayhah,"Dosen Pembimbing I : Bain Khusnul khotimah, S.T.,M.Kom","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T.,M.T","Optical Font Recognition (OFR) merupakan  teknik analisa tipe tulisan pada teks atau dokumen yang sangat diminati. Penelitian ini menguji keefektifan penggunaan analisa ekstraksi fitur global berdasarkan analisa statistik pada perilaku piksel tepi citra biner OFR. Salah satu metode OFR berdasarkan pendekatan global adalah Edge Direction Matrix (EDM).  EDM merupakan sebuah metode baru pada ekstraksi fitur untuk citra biner dimana perilaku piksel tepi antara background putih dan pola hitam diambil sebagai fitur pola. Kemudian nilai tersebut disimpan pada matrik EDM1 dan EDM2  sesuai dengan delapan arah sudut. Dari nilai matrik yang terbentuk kemudian akan dihitung berdasarkan enam persamaan EDM sehingga membentuk 22 nilai fitur. Dalam hal ini dataset yang digunakan untuk pengujian berjumlah 1200 data citra yang berasal dari empat aksara kuno yang ada di Indonesia yaitu Aksara Carakan, Aksara Batak Toba, Aksara Had Lampung dan Aksara Kaganga. Setiap aksara mempunyai empat style font yaitu Bold, Bold-Italic, Italic dan Regular. Penelitian ini menggunakan metode Euclidean Distance dalam proses klasifikasi dan pengenalan tipe tulisan sehingga mendapatkan hasil akurasi pengenalan tertinggi mencapai 83,7% pada skenario ke 5 dengan jumlah data ujicoba sebanyak 208 data."
